file,count
HIP13777.tsv.gz,185180
HIP08507.tsv.gz,208972
HIP13966.tsv.gz,200321
HIP01091.tsv.gz,170057
HIP05311.tsv.gz,97693
HIP13954.tsv.gz,247968
HIP14230.tsv.gz,157077
HIP00924.tsv.gz,159769
HIP10759.tsv.gz,151317
HIP13865.tsv.gz,93286
HIP14037.tsv.gz,159362
HIP08521.tsv.gz,288226
HIP13636.tsv.gz,392584
HIP14211.tsv.gz,177784
HIP05574.tsv.gz,220719
HIP13933.tsv.gz,103325
HIP13414.tsv.gz,142422
HIP01223.tsv.gz,246588
